Veh_value,Exposure,Claim_recorded,Claims_cost,Veh_body,Veh_age,Gender,Area,Age_category
7200.0,0.648870637,0,0.0,HBACK,4,F,C,2
16000.0,0.854209446,0,0.0,PANVN,3,M,A,4
3900.0,0.536618754,0,0.0,SEDAN,4,M,C,5
44500.0,0.594113621,0,0.0,STNWG,1,F,C,3
19000.0,0.854209446,0,0.0,SEDAN,1,F,A,4
24200.0,0.577686516,0,0.0,SEDAN,1,F,A,4
9300.0,0.536618754,0,0.0,COUPE,4,F,A,4
16200.000000000002,0.854209446,0,0.0,SEDAN,2,F,B,4
40300.0,0.462696783,0,0.0,STNWG,1,M,F,2
26500.0,0.095824778,0,0.0,SEDAN,1,F,C,3
15300.0,0.169746749,0,0.0,SEDAN,3,F,D,3
26700.0,0.536618754,0,0.0,HBACK,1,F,A,2
11500.0,0.906228611,0,0.0,STNWG,3,F,A,3
9900.0,0.317590691,0,0.0,HBACK,3,F,B,3
17500.0,0.971937029,0,0.0,SEDAN,2,F,B,2
13899.999999999998,0.317590691,1,865.789999,HBACK,3,F,A,4
7700.0,0.093086927,0,0.0,COUPE,4,M,C,2
19000.0,0.854209446,0,0.0,HBACK,1,M,C,1
53900.0,0.024640657,0,0.0,STNWG,2,M,A,5
14300.0,0.030116359,0,0.0,SEDAN,2,F,B,4
36800.0,0.34770705,0,0.0,UTE,1,F,E,2
26500.0,0.317590691,0,0.0,HDTOP,3,M,F,5
11500.0,0.665297741,0,0.0,SEDAN,3,M,C,4
12200.0,0.777549624,0,0.0,HDTOP,4,F,D,2
17500.0,0.24366872,0,0.0,SEDAN,2,M,A,4
3800.0,0.750171116,0,0.0,HBACK,4,F,A,2
5000.0,0.071184121,1,200.0,HBACK,4,F,A,5
46400.0,0.221765914,0,0.0,STNWG,1,F,D,3
35500.0,0.851471595,0,0.0,STNWG,2,F,C,3
17500.0,0.317590691,0,0.0,HBACK,2,M,A,3
14800.0,0.6954141,0,0.0,HBACK,2,F,B,2
13100.0,0.317590691,0,0.0,HBACK,2,M,B,2
17200.0,0.906228611,0,0.0,SEDAN,2,F,D,6
21500.0,0.654346338,1,200.0,SEDAN,3,F,A,5
35990.0,0.583162218,0,0.0,STNWG,1,F,B,3
2200.0,0.292950034,0,0.0,HBACK,4,M,C,6
11500.0,0.019164956,0,0.0,HBACK,4,F,A,4
4500.0,0.616016427,0,0.0,HBACK,4,F,B,6
6700.0,0.616016427,0,0.0,SEDAN,4,F,D,5
4400.0,0.616016427,0,0.0,SEDAN,4,M,D,6
8900.0,0.616016427,0,0.0,STNWG,4,M,C,6
11500.0,0.616016427,0,0.0,HBACK,3,F,C,2
51400.0,0.616016427,0,0.0,STNWG,1,M,B,6
6700.0,0.616016427,0,0.0,SEDAN,4,F,C,4
14300.0,0.38329911,0,0.0,SEDAN,3,F,D,2
13100.0,0.616016427,0,0.0,STNWG,4,M,D,3
54300.0,0.616016427,0,0.0,STNWG,1,F,C,3
3500.0,0.616016427,0,0.0,SEDAN,4,M,E,5
16100.000000000002,0.344969199,0,0.0,SEDAN,2,F,C,4
9500.0,0.616016427,0,0.0,HDTOP,4,M,A,6
5300.0,0.616016427,0,0.0,SEDAN,4,F,D,5
28200.0,0.38329911,0,0.0,STNWG,3,F,C,3
31100.0,0.38329911,0,0.0,TRUCK,3,M,C,3
10100.0,0.093086927,0,0.0,HBACK,3,F,E,1
5100.0,0.616016427,0,0.0,SEDAN,4,F,A,4
10200.0,0.616016427,0,0.0,SEDAN,3,F,C,6
8400.0,0.616016427,0,0.0,HBACK,3,F,C,4
18600.0,0.616016427,1,238.6400003,SEDAN,2,F,C,3
4600.0,0.616016427,0,0.0,STNWG,4,F,A,4
